,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,Total_income
67,LP001233,1,1,1,1,0,10750,0.0,312.0,360.0,1.0,2,1,5.7430031878094825,1.747982276959401
68,LP001238,1,1,3,0,1,7100,0.0,125.0,60.0,1.0,2,1,4.8283137373023015,1.5744972839952205
69,LP001241,0,0,0,1,0,4300,0.0,136.0,360.0,0.0,1,0,4.912654885736052,1.5918145056013675
70,LP001243,1,1,0,1,0,3208,3066.0,172.0,360.0,1.0,2,1,5.147494476813453,1.6385100869349585
71,LP001245,1,1,2,0,1,1875,1875.0,97.0,360.0,1.0,1,1,4.574710978503383,1.520543522634296
72,LP001248,1,0,0,1,0,3500,0.0,81.0,300.0,1.0,1,1,4.394449154672439,1.4803421887365897
73,LP001250,1,1,3,0,0,4755,0.0,95.0,360.0,0.0,1,0,4.553876891600541,1.5159789342503565
74,LP001253,1,1,3,1,1,5266,1774.0,187.0,360.0,1.0,1,1,5.231108616854587,1.654623228243748
75,LP001255,1,0,0,1,0,3750,0.0,113.0,480.0,1.0,2,0,4.727387818712341,1.5533727917527633
76,LP001256,1,0,0,1,0,3750,4750.0,176.0,360.0,1.0,2,0,5.170483995038151,1.6429663002001658
77,LP001259,1,1,1,1,1,1000,3022.0,110.0,360.0,1.0,2,0,4.700480365792417,1.5476647089811362
78,LP001263,1,1,3,1,0,3167,4000.0,180.0,300.0,0.0,1,0,5.19295685089021,1.6473032557366176
79,LP001264,1,1,3,0,1,3333,2166.0,130.0,360.0,1.0,1,1,4.867534450455582,1.582587535887981
80,LP001265,0,0,0,1,0,3846,0.0,111.0,360.0,1.0,1,1,4.709530201312334,1.5495881581091657
81,LP001266,1,1,1,1,1,2395,0.0,128.0,360.0,1.0,1,1,4.852030263919617,1.5793972284736488
82,LP001267,0,1,2,1,0,1378,1881.0,167.0,360.0,1.0,2,0,5.117993812416755,1.6327625287522542
83,LP001273,1,1,0,1,0,6000,2250.0,265.0,360.0,1.0,1,0,5.579729825986222,1.7191403569389776
84,LP001275,1,1,1,1,0,3988,0.0,50.0,240.0,1.0,2,1,3.912023005428146,1.3640546328884455
85,LP001279,1,0,0,1,0,2366,2531.0,136.0,360.0,1.0,1,1,4.912654885736052,1.5918145056013675
86,LP001280,1,1,2,0,0,3333,2000.0,99.0,360.0,1.0,1,1,4.59511985013459,1.524994838195378
87,LP001282,1,1,0,1,0,2500,2118.0,104.0,360.0,1.0,1,1,4.6443908991413725,1.535660233235027
88,LP001289,1,0,0,1,0,8566,0.0,210.0,360.0,1.0,2,1,5.3471075307174685,1.676555766240811
89,LP001310,1,1,0,1,0,5695,4167.0,175.0,360.0,1.0,1,1,5.1647859739235145,1.641863663944111
90,LP001316,1,1,0,1,0,2958,2900.0,131.0,360.0,1.0,1,1,4.875197323201151,1.5841605801847392
91,LP001318,1,1,2,1,0,6250,5654.0,188.0,180.0,1.0,1,1,5.236441962829949,1.6556422529709331
92,LP001319,1,1,2,0,0,3273,1820.0,81.0,360.0,1.0,2,1,4.394449154672439,1.4803421887365897
93,LP001322,1,0,0,1,0,4133,0.0,122.0,360.0,1.0,1,1,4.804021044733257,1.569453284877013
94,LP001325,1,0,0,0,0,3620,0.0,25.0,120.0,1.0,1,1,3.2188758248682006,1.1690321758870559
95,LP001326,1,0,0,1,0,6782,0.0,128.0,360.0,1.0,2,0,4.852030263919617,1.5793972284736488
96,LP001327,0,1,0,1,0,2484,2302.0,137.0,360.0,1.0,1,1,4.919980925828125,1.5933046536324995
97,LP001333,1,1,0,1,0,1977,997.0,50.0,360.0,1.0,1,1,3.912023005428146,1.3640546328884455
98,LP001334,1,1,0,0,0,4188,0.0,115.0,180.0,1.0,1,1,4.74493212836325,1.557077128137304
99,LP001343,1,1,0,1,0,1759,3541.0,131.0,360.0,1.0,1,1,4.875197323201151,1.5841605801847392
100,LP001345,1,1,2,0,0,4288,3263.0,133.0,180.0,1.0,2,1,4.890349128221754,1.5872636973025485
101,LP001349,1,0,0,1,0,4843,3806.0,151.0,360.0,1.0,1,1,5.017279836814924,1.612887921665338
102,LP001350,1,1,0,1,0,13650,0.0,128.0,360.0,1.0,2,1,4.852030263919617,1.5793972284736488
103,LP001356,1,1,0,1,0,4652,3583.0,128.0,360.0,1.0,1,1,4.852030263919617,1.5793972284736488
104,LP001357,1,1,0,1,0,3816,754.0,160.0,360.0,1.0,2,1,5.075173815233827,1.6243607736485148
105,LP001367,1,1,1,1,0,3052,1030.0,100.0,360.0,1.0,2,1,4.605170185988092,1.5271796258079011
106,LP001369,1,1,2,1,0,11417,1126.0,225.0,360.0,1.0,2,1,5.41610040220442,1.6893760735113401
107,LP001370,1,0,0,0,0,7333,0.0,120.0,360.0,1.0,0,0,4.787491742782046,1.5660066297600124
108,LP001379,1,1,2,1,0,3800,3600.0,216.0,360.0,0.0,2,0,5.375278407684165,1.6818103694507691
109,LP001384,1,1,3,0,0,2071,754.0,94.0,480.0,1.0,1,1,4.543294782270004,1.5136524718106426
110,LP001385,1,0,0,1,0,5316,0.0,136.0,360.0,1.0,2,1,4.912654885736052,1.5918145056013675
111,LP001387,0,1,0,1,0,2929,2333.0,139.0,360.0,1.0,1,1,4.9344739331306915,1.5962460680403698
112,LP001391,1,1,0,0,0,3572,4114.0,152.0,360.0,0.0,0,0,5.0238805208462765,1.614202647204422
113,LP001392,0,0,1,1,1,7451,0.0,128.0,360.0,1.0,1,1,4.852030263919617,1.5793972284736488
114,LP001398,1,0,0,1,0,5050,0.0,118.0,360.0,1.0,1,1,4.770684624465665,1.562489821742864
115,LP001401,1,1,1,1,0,14583,0.0,185.0,180.0,1.0,0,1,5.220355825078324,1.652565565295187
116,LP001404,0,1,0,1,0,3167,2283.0,154.0,360.0,1.0,1,1,5.0369526024136295,1.6168012568351087
117,LP001405,1,1,1,1,0,2214,1398.0,85.0,360.0,1.0,2,1,4.442651256490317,1.4912513280732116
118,LP001421,1,1,0,1,0,5568,2142.0,175.0,360.0,1.0,0,0,5.1647859739235145,1.641863663944111
119,LP001422,0,0,0,1,0,10408,0.0,259.0,360.0,1.0,2,1,5.556828061699537,1.7150274529696439
120,LP001426,1,1,0,1,0,5667,2667.0,180.0,360.0,1.0,0,1,5.19295685089021,1.6473032557366176
121,LP001430,0,0,0,1,0,4166,0.0,44.0,360.0,1.0,1,1,3.784189633918261,1.3308317646057786
122,LP001431,0,0,0,1,0,2137,8980.0,137.0,360.0,0.0,1,1,4.919980925828125,1.5933046536324995
123,LP001432,1,1,2,1,0,2957,0.0,81.0,360.0,1.0,1,1,4.394449154672439,1.4803421887365897
124,LP001439,1,1,0,0,0,4300,2014.0,194.0,360.0,1.0,0,1,5.267858159063328,1.6616238585115888
125,LP001443,0,0,0,1,0,3692,0.0,93.0,360.0,1.0,0,1,4.532599493153256,1.511295614460169
126,LP001448,1,1,3,1,0,23803,0.0,370.0,360.0,1.0,0,1,5.91350300563827,1.7772383809761363
127,LP001449,1,0,0,1,0,3865,1640.0,128.0,360.0,1.0,0,1,4.852030263919617,1.5793972284736488
128,LP001451,1,1,1,1,1,10513,3850.0,160.0,180.0,0.0,2,0,5.075173815233827,1.6243607736485148
129,LP001465,1,1,0,1,0,6080,2569.0,182.0,360.0,1.0,0,0,5.204006687076795,1.6494288456372879
130,LP001469,1,0,0,1,1,20166,0.0,650.0,480.0,1.0,2,1,6.476972362889683,1.8682531732300711
131,LP001473,1,0,0,1,0,2014,1929.0,74.0,360.0,1.0,2,1,4.30406509320417,1.4595599466308458
132,LP001478,1,0,0,1,0,2718,0.0,70.0,360.0,1.0,1,1,4.248495242049359,1.4465648595477707
133,LP001482,1,1,0,1,1,3459,0.0,25.0,120.0,1.0,1,1,3.2188758248682006,1.1690321758870559
134,LP001487,1,0,0,1,0,4895,0.0,102.0,360.0,1.0,1,1,4.624972813284271,1.5314704927383054
135,LP001488,1,1,3,1,0,4000,7750.0,290.0,360.0,1.0,1,0,5.66988092298052,1.735168116281128
136,LP001489,0,1,0,1,0,4583,0.0,84.0,360.0,1.0,0,0,4.430816798843313,1.4885839460327333
137,LP001491,1,1,2,1,1,3316,3500.0,88.0,360.0,1.0,2,1,4.477336814478207,1.4990284086108943
138,LP001492,1,0,0,1,0,14999,0.0,242.0,360.0,0.0,1,0,5.488937726156687,1.702734744296014
139,LP001493,1,1,2,0,0,4200,1430.0,129.0,360.0,1.0,0,0,4.859812404361672,1.5809998372418241
140,LP001497,1,1,2,1,0,5042,2083.0,185.0,360.0,1.0,0,0,5.220355825078324,1.652565565295187
141,LP001498,1,0,0,1,0,5417,0.0,168.0,360.0,1.0,2,1,5.123963979403259,1.633928354228994
142,LP001504,1,0,0,1,1,6950,0.0,175.0,180.0,1.0,1,1,5.1647859739235145,1.641863663944111
143,LP001507,1,1,0,1,0,2698,2034.0,122.0,360.0,1.0,1,1,4.804021044733257,1.569453284877013
144,LP001508,1,1,2,1,0,11757,0.0,187.0,180.0,1.0,2,1,5.231108616854587,1.654623228243748
145,LP001514,0,1,0,1,0,2330,4486.0,100.0,360.0,1.0,1,1,4.605170185988092,1.5271796258079011
146,LP001516,0,1,2,1,0,14866,0.0,70.0,360.0,1.0,2,1,4.248495242049359,1.4465648595477707
147,LP001518,1,1,1,1,0,1538,1425.0,30.0,360.0,1.0,2,1,3.4011973816621555,1.224127540701542
148,LP001519,0,0,0,1,0,10000,1666.0,225.0,360.0,1.0,0,0,5.41610040220442,1.6893760735113401
149,LP001520,1,1,0,1,0,4860,830.0,125.0,360.0,1.0,1,1,4.8283137373023015,1.5744972839952205
150,LP001528,1,0,0,1,0,6277,0.0,118.0,360.0,0.0,0,0,4.770684624465665,1.562489821742864
151,LP001529,1,1,0,1,1,2577,3750.0,152.0,360.0,1.0,0,1,5.0238805208462765,1.614202647204422
152,LP001531,1,0,0,1,0,9166,0.0,244.0,360.0,1.0,2,0,5.497168225293202,1.7042330915198087
153,LP001532,1,1,2,0,0,2281,0.0,113.0,360.0,1.0,0,0,4.727387818712341,1.5533727917527633
154,LP001535,1,0,0,1,0,3254,0.0,50.0,360.0,1.0,2,1,3.912023005428146,1.3640546328884455
155,LP001536,1,1,3,1,0,39999,0.0,600.0,180.0,0.0,1,1,6.396929655216146,1.8558181338804391
156,LP001541,1,1,1,1,0,6000,0.0,160.0,360.0,1.0,0,1,5.075173815233827,1.6243607736485148
157,LP001543,1,1,1,1,0,9538,0.0,187.0,360.0,1.0,2,1,5.231108616854587,1.654623228243748
158,LP001546,1,0,0,1,0,2980,2083.0,120.0,360.0,1.0,0,1,4.787491742782046,1.5660066297600124
159,LP001552,1,1,0,1,0,4583,5625.0,255.0,360.0,1.0,1,1,5.541263545158426,1.7122225514970442
160,LP001560,1,1,0,0,0,1863,1041.0,98.0,360.0,1.0,1,1,4.584967478670572,1.5227830126997552
161,LP001562,1,1,0,1,0,7933,0.0,275.0,360.0,1.0,2,0,5.616771097666572,1.7257569610137753
162,LP001565,1,1,1,1,0,3089,1280.0,121.0,360.0,0.0,1,0,4.795790545596741,1.5677385634836343
163,LP001570,1,1,2,1,0,4167,1447.0,158.0,360.0,1.0,0,1,5.062595033026967,1.6218792042124106
164,LP001572,1,1,0,1,0,9323,0.0,75.0,180.0,1.0,2,1,4.31748811353631,1.4626737779454593
165,LP001574,1,1,0,1,0,3707,3166.0,182.0,360.0,1.0,0,1,5.204006687076795,1.6494288456372879
166,LP001577,0,1,0,1,0,4583,0.0,112.0,360.0,1.0,0,0,4.718498871295094,1.5514907132708071
167,LP001578,1,1,0,1,0,2439,3333.0,129.0,360.0,1.0,0,1,4.859812404361672,1.5809998372418241
168,LP001579,1,0,0,1,0,2237,0.0,63.0,480.0,0.0,1,0,4.143134726391533,1.4214526816086592
169,LP001580,1,1,2,1,0,8000,0.0,200.0,360.0,1.0,1,1,5.298317366548036,1.6673892921414593
170,LP001581,1,1,0,0,0,1820,1769.0,95.0,360.0,1.0,0,1,4.553876891600541,1.5159789342503565
171,LP001585,1,1,3,1,0,51763,0.0,700.0,300.0,1.0,2,1,6.551080335043404,1.8796299726944552
172,LP001586,1,1,3,0,0,3522,0.0,81.0,180.0,1.0,0,0,4.394449154672439,1.4803421887365897
173,LP001594,1,1,0,1,0,5708,5625.0,187.0,360.0,1.0,1,1,5.231108616854587,1.654623228243748
174,LP001603,1,1,0,0,1,4344,736.0,87.0,360.0,1.0,1,0,4.465908118654584,1.4964725796851872
175,LP001606,1,1,0,1,0,3497,1964.0,116.0,360.0,1.0,0,1,4.7535901911063645,1.5589001622577283
176,LP001608,1,1,2,1,0,2045,1619.0,101.0,360.0,1.0,0,1,4.61512051684126,1.5293379817722996
177,LP001610,1,1,3,1,0,5516,11300.0,495.0,360.0,0.0,1,0,6.20455776256869,1.8252841449754358
178,LP001616,1,1,1,1,0,3750,0.0,116.0,360.0,1.0,1,1,4.7535901911063645,1.5589001622577283
179,LP001630,1,0,0,0,0,2333,1451.0,102.0,480.0,0.0,2,0,4.624972813284271,1.5314704927383054
180,LP001633,1,1,1,1,0,6400,7250.0,180.0,360.0,0.0,2,0,5.19295685089021,1.6473032557366176
181,LP001634,1,0,0,1,0,1916,5063.0,67.0,360.0,1.0,0,0,4.204692619390966,1.436201191916192
182,LP001636,1,1,0,1,0,4600,0.0,73.0,180.0,1.0,1,1,4.290459441148391,1.4563938230443614
183,LP001637,1,1,1,1,0,33846,0.0,260.0,360.0,1.0,1,0,5.560681631015528,1.7157206962546658
184,LP001639,0,1,0,1,0,3625,0.0,108.0,360.0,1.0,1,1,4.68213122712422,1.5437533966819692
185,LP001640,1,1,0,1,1,39147,4750.0,120.0,360.0,1.0,1,1,4.787491742782046,1.5660066297600124
186,LP001641,1,1,1,1,1,2178,0.0,66.0,300.0,0.0,0,0,4.189654742026425,1.4326183300679207
187,LP001643,1,1,0,1,0,2383,2138.0,58.0,360.0,1.0,0,1,4.060443010546419,1.4012920835590674
188,LP001644,1,1,0,1,1,674,5296.0,168.0,360.0,1.0,0,1,5.123963979403259,1.633928354228994
189,LP001647,1,1,0,1,0,9328,0.0,188.0,180.0,1.0,0,1,5.236441962829949,1.6556422529709331
190,LP001653,1,0,0,0,0,4885,0.0,48.0,360.0,1.0,0,1,3.871201010907891,1.3535647976324747
191,LP001656,1,0,0,1,0,12000,0.0,164.0,360.0,1.0,1,0,5.099866427824199,1.6292143487645936
192,LP001657,1,1,0,0,0,6033,0.0,160.0,360.0,1.0,2,0,5.075173815233827,1.6243607736485148
193,LP001658,1,0,0,1,0,3858,0.0,76.0,360.0,1.0,1,1,4.330733340286331,1.465736890326896
194,LP001664,1,0,0,1,0,4191,0.0,120.0,360.0,1.0,0,1,4.787491742782046,1.5660066297600124
195,LP001665,1,1,1,1,0,3125,2583.0,170.0,360.0,1.0,1,0,5.135798437050262,1.6362353204949376
196,LP001666,1,0,0,1,0,8333,3750.0,187.0,360.0,1.0,0,1,5.231108616854587,1.654623228243748
197,LP001669,0,0,0,0,0,1907,2365.0,120.0,360.0,1.0,2,1,4.787491742782046,1.5660066297600124
198,LP001671,0,1,0,1,0,3416,2816.0,113.0,360.0,1.0,1,1,4.727387818712341,1.5533727917527633
199,LP001673,1,0,0,1,1,11000,0.0,83.0,360.0,1.0,2,0,4.418840607796598,1.4858773557530183
200,LP001674,1,1,1,0,0,2600,2500.0,90.0,360.0,1.0,1,1,4.499809670330265,1.5040351003996315
201,LP001677,1,0,2,1,0,4923,0.0,166.0,360.0,0.0,1,1,5.111987788356544,1.631588328253238
202,LP001682,1,1,3,0,0,3992,0.0,128.0,180.0,1.0,2,0,4.852030263919617,1.5793972284736488
203,LP001688,1,1,1,0,0,3500,1083.0,135.0,360.0,1.0,2,1,4.90527477843843,1.590311111517258
204,LP001691,1,1,2,0,0,3917,0.0,124.0,360.0,1.0,1,1,4.820281565605037,1.572832342456985
205,LP001692,0,0,0,0,0,4408,0.0,120.0,360.0,1.0,1,1,4.787491742782046,1.5660066297600124
206,LP001693,0,0,0,1,0,3244,0.0,80.0,360.0,1.0,2,1,4.382026634673881,1.4775113193551406
207,LP001698,1,0,0,0,0,3975,2531.0,55.0,360.0,1.0,0,1,4.007333185232471,1.3881259789913998
208,LP001699,1,0,0,1,0,2479,0.0,59.0,360.0,1.0,2,1,4.07753744390572,1.4054932385256123
209,LP001702,1,0,0,1,0,3418,0.0,127.0,360.0,1.0,1,0,4.844187086458591,1.5777794472527427
210,LP001708,0,0,0,1,0,10000,0.0,214.0,360.0,1.0,1,0,5.365976015021851,1.6800782821876006
211,LP001711,1,1,3,1,0,3430,1250.0,128.0,360.0,0.0,1,0,4.852030263919617,1.5793972284736488
212,LP001713,1,1,1,1,1,7787,0.0,240.0,360.0,1.0,2,1,5.480638923341991,1.701221686014351
213,LP001715,1,1,3,0,1,5703,0.0,130.0,360.0,1.0,0,1,4.867534450455582,1.582587535887981
214,LP001716,1,1,0,1,0,3173,3021.0,137.0,360.0,1.0,2,1,4.919980925828125,1.5933046536324995
215,LP001720,1,1,3,0,0,3850,983.0,100.0,360.0,1.0,1,1,4.605170185988092,1.5271796258079011
216,LP001722,1,1,0,1,0,150,1800.0,135.0,360.0,1.0,0,0,4.90527477843843,1.590311111517258
217,LP001726,1,1,0,1,0,3727,1775.0,131.0,360.0,1.0,1,1,4.875197323201151,1.5841605801847392
218,LP001732,1,1,2,1,0,5000,0.0,72.0,360.0,0.0,1,0,4.276666119016055,1.453173761903945
219,LP001734,0,1,2,1,0,4283,2383.0,127.0,360.0,1.0,1,1,4.844187086458591,1.5777794472527427
220,LP001736,1,1,0,1,0,2221,0.0,60.0,360.0,0.0,2,0,4.0943445622221,1.4096066464289525
221,LP001743,1,1,2,1,0,4009,1717.0,116.0,360.0,1.0,1,1,4.7535901911063645,1.5589001622577283
222,LP001744,1,0,0,1,0,2971,2791.0,144.0,360.0,1.0,1,1,4.969813299576001,1.6033822739252712
223,LP001749,1,1,0,1,0,7578,1010.0,175.0,360.0,1.0,1,1,5.1647859739235145,1.641863663944111
224,LP001750,1,1,0,1,0,6250,0.0,128.0,360.0,1.0,1,1,4.852030263919617,1.5793972284736488
225,LP001751,1,1,0,1,0,3250,0.0,170.0,360.0,1.0,0,0,5.135798437050262,1.6362353204949376
226,LP001754,1,1,0,0,1,4735,0.0,138.0,360.0,1.0,2,0,4.927253685157205,1.5947817710037706
227,LP001758,1,1,2,1,0,6250,1695.0,210.0,360.0,1.0,1,1,5.3471075307174685,1.676555766240811
228,LP001760,1,1,0,1,0,4758,0.0,158.0,480.0,1.0,1,1,5.062595033026967,1.6218792042124106
229,LP001761,1,0,0,1,1,6400,0.0,200.0,360.0,1.0,0,1,5.298317366548036,1.6673892921414593
230,LP001765,1,1,1,1,0,2491,2054.0,104.0,360.0,1.0,1,1,4.6443908991413725,1.535660233235027
231,LP001768,1,1,0,1,0,3716,0.0,42.0,180.0,1.0,0,1,3.7376696182833684,1.3184623205053285
232,LP001770,1,0,0,0,0,3189,2598.0,120.0,360.0,1.0,0,1,4.787491742782046,1.5660066297600124
233,LP001776,0,0,0,1,0,8333,0.0,280.0,360.0,1.0,1,1,5.634789603169249,1.7289598092914389
234,LP001778,1,1,1,1,0,3155,1779.0,140.0,360.0,1.0,1,1,4.941642422609304,1.5976977501549372
235,LP001784,1,1,1,1,0,5500,1260.0,170.0,360.0,1.0,0,1,5.135798437050262,1.6362353204949376
236,LP001786,1,1,0,1,0,5746,0.0,255.0,360.0,1.0,2,0,5.541263545158426,1.7122225514970442
237,LP001788,0,0,0,1,1,3463,0.0,122.0,360.0,1.0,2,1,4.804021044733257,1.569453284877013
238,LP001790,0,0,1,1,0,3812,0.0,112.0,360.0,1.0,0,1,4.718498871295094,1.5514907132708071
239,LP001792,1,1,1,1,0,3315,0.0,96.0,360.0,1.0,1,1,4.564348191467836,1.5182757199460604
